CFIP,FirstDateOrder,Year,MBD_0,MBD_1,MBD_2,MBD_3,MBD_4,MBD_5,MBD_6,MBD_7,MBD_8,MBD_9,MBD_10,MBD_11,MBD_12,bb,college,foreign,medianIncome,it
1.011000000000000000e+03,5.000000000000000000e+00,2.020000000000000000e+03,1.060716900000000074e+00,1.036332599999999937e+00,1.060716900000000074e+00,1.011948300000000023e+00,8.900268099999999460e-01,9.266032600000000397e-01,9.144111299999999609e-01,9.509875800000000545e-01,9.266032600000000397e-01,9.387953900000000074e-01,8.778346799999999783e-01,8.778346799999999783e-01,8.620689499999999450e-01,6.060000000000000142e+01,6.099999999999999645e+00,1.500000000000000000e+00,3.386600000000000000e+04,2.999999999999999889e-01
1.011000000000000000e+03,1.700000000000000000e+01,2.021000000000000000e+03,8.620689499999999450e-01,8.004925800000000091e-01,8.251231300000000379e-01,8.620689499999999450e-01,8.743842200000000453e-01,8.743842200000000453e-01,8.374384000000000272e-01,8.251231300000000379e-01,8.004925800000000091e-01,7.758620999999999990e-01,8.004925800000000091e-01,8.374384000000000272e-01,8.487458799999999526e-01,5.939999999999999858e+01,8.099999999999999645e+00,1.199999999999999956e+00,2.906300000000000000e+04,2.000000000000000111e-01
1.013000000000000000e+03,5.000000000000000000e+00,2.020000000000000000e+03,1.060870600000000108e+00,1.060870600000000108e+00,1.009120900000000098e+00,9.961834499999999704e-01,9.961834499999999704e-01,1.002652199999999993e+00,7.633094200000000162e-01,7.697781299999999494e-01,7.827155599999999769e-01,8.021217600000000170e-01,7.762468500000000438e-01,7.633094200000000162e-01,7.610746000000000455e-01,7.359999999999999432e+01,1.009999999999999964e+01,1.899999999999999911e+00,4.485000000000000000e+04,1.300000000000000044e+00
1.013000000000000000e+03,1.700000000000000000e+01,2.021000000000000000e+03,7.610746000000000455e-01,1.736811300000000058e+00,1.730306399999999911e+00,1.730306399999999911e+00,1.860404600000000075e+00,1.886424300000000054e+00,1.886424300000000054e+00,1.892929199999999978e+00,1.918948799999999899e+00,1.918948799999999899e+00,1.951473400000000025e+00,1.918948799999999899e+00,1.977161500000000016e+00,7.629999999999999716e+01,8.099999999999999645e+00,1.699999999999999956e+00,4.523600000000000000e+04,1.399999999999999911e+00
1.015000000000000000e+03,5.000000000000000000e+00,2.020000000000000000e+03,2.719628099999999993e+00,2.745211400000000079e+00,2.756334799999999863e+00,2.818624699999999983e+00,2.834197300000000030e+00,2.853106700000000107e+00,2.887588699999999786e+00,2.917621399999999809e+00,2.886476299999999995e+00,2.906498200000000143e+00,2.892038100000000167e+00,2.883139400000000130e+00,2.880690599999999879e+00,7.979999999999999716e+01,1.050000000000000000e+01,2.500000000000000000e+00,5.012800000000000000e+04,1.000000000000000000e+00
1.015000000000000000e+03,1.700000000000000000e+01,2.021000000000000000e+03,2.880690599999999879e+00,2.702250499999999889e+00,2.698904800000000215e+00,2.689982899999999955e+00,2.649833899999999964e+00,2.642027099999999962e+00,2.685521800000000070e+00,2.671023599999999831e+00,2.665447200000000016e+00,2.688867600000000024e+00,2.683291399999999882e+00,2.696674300000000191e+00,2.701133500000000076e+00,8.159999999999999432e+01,1.140000000000000036e+01,2.500000000000000000e+00,5.097700000000000000e+04,1.000000000000000000e+00
1.017000000000000000e+03,5.000000000000000000e+00,2.020000000000000000e+03,1.319910499999999987e+00,1.331096199999999952e+00,1.301267699999999916e+00,1.327367699999999928e+00,1.342281899999999917e+00,1.342281899999999917e+00,1.349739000000000022e+00,1.379567500000000058e+00,1.379567500000000058e+00,1.379567500000000058e+00,1.360924699999999987e+00,1.338553300000000057e+00,1.383718699999999968e+00,7.450000000000000000e+01,1.050000000000000000e+01,1.899999999999999911e+00,4.387500000000000000e+04,2.299999999999999822e+00
1.017000000000000000e+03,1.700000000000000000e+01,2.021000000000000000e+03,1.383718699999999968e+00,1.282195900000000055e+00,1.282195900000000055e+00,1.293476199999999965e+00,1.282195900000000055e+00,1.252115000000000089e+00,1.270915599999999923e+00,1.282195900000000055e+00,1.353637900000000061e+00,1.372438400000000058e+00,1.376198500000000102e+00,1.402519199999999966e+00,1.412333400000000072e+00,7.709999999999999432e+01,9.599999999999999645e+00,2.000000000000000000e+00,4.723200000000000000e+04,1.800000000000000044e+00
1.019000000000000000e+03,5.000000000000000000e+00,2.020000000000000000e+03,1.079398999999999997e+00,1.069674699999999978e+00,1.074536900000000017e+00,1.059950399999999959e+00,1.084261200000000036e+00,1.059950399999999959e+00,1.074536900000000017e+00,1.210677299999999956e+00,1.205815199999999976e+00,1.215539499999999995e+00,1.234988100000000033e+00,1.264161000000000090e+00,1.248910799999999988e+00,7.500000000000000000e+01,6.299999999999999822e+00,1.899999999999999911e+00,4.250900000000000000e+04,9.000000000000000222e-01
1.019000000000000000e+03,1.700000000000000000e+01,2.021000000000000000e+03,1.248910799999999988e+00,1.185981299999999905e+00,1.195662699999999967e+00,1.234388599999999947e+00,1.229547900000000027e+00,1.215025699999999986e+00,1.210184900000000008e+00,1.215025699999999986e+00,1.215025699999999986e+00,1.200503499999999946e+00,1.219866399999999906e+00,1.215025699999999986e+00,1.193419599999999914e+00,7.670000000000000284e+01,6.200000000000000178e+00,2.000000000000000000e+00,4.347500000000000000e+04,4.000000000000000222e-01
1.021000000000000000e+03,5.000000000000000000e+00,2.020000000000000000e+03,1.460204999999999975e+00,1.469218499999999983e+00,1.409127800000000041e+00,1.451191300000000073e+00,1.490250199999999969e+00,1.478232100000000049e+00,1.481236699999999962e+00,1.490250199999999969e+00,1.472223000000000059e+00,1.439173100000000094e+00,1.403118700000000052e+00,1.397109600000000063e+00,1.385397900000000071e+00,7.459999999999999432e+01,8.199999999999999289e+00,4.400000000000000355e+00,5.214100000000000000e+04,8.000000000000000444e-01
1.021000000000000000e+03,1.700000000000000000e+01,2.021000000000000000e+03,1.385397900000000071e+00,1.538001200000000068e+00,1.564931199999999967e+00,1.612806699999999926e+00,1.612806699999999926e+00,1.618791099999999927e+00,1.639736700000000047e+00,1.672651099999999946e+00,1.654697800000000107e+00,1.648713400000000107e+00,1.651705600000000107e+00,1.678635600000000005e+00,1.667311800000000011e+00,7.829999999999999716e+01,7.900000000000000355e+00,3.600000000000000089e+00,5.624300000000000000e+04,5.999999999999999778e-01
1.023000000000000000e+03,5.000000000000000000e+00,2.020000000000000000e+03,1.093525199999999975e+00,1.122302200000000028e+00,1.151079200000000080e+00,1.179856100000000074e+00,1.199040799999999907e+00,1.275779400000000008e+00,1.237410099999999957e+00,1.218225499999999961e+00,1.227817799999999959e+00,1.218225499999999961e+00,1.170263800000000076e+00,1.170263800000000076e+00,1.162565400000000082e+00,6.279999999999999716e+01,8.199999999999999289e+00,9.000000000000000222e-01,3.663400000000000000e+04,8.000000000000000444e-01
1.023000000000000000e+03,1.700000000000000000e+01,2.021000000000000000e+03,1.162565400000000082e+00,1.327262200000000059e+00,1.346638199999999896e+00,1.375702399999999992e+00,1.317574100000000081e+00,1.307886099999999940e+00,1.317574100000000081e+00,1.414454600000000006e+00,1.404766600000000087e+00,1.443518599999999985e+00,1.462894799999999940e+00,1.453206800000000021e+00,1.489174100000000056e+00,6.370000000000000284e+01,8.099999999999999645e+00,8.000000000000000444e-01,3.858100000000000000e+04,1.000000000000000000e+00
1.025000000000000000e+03,5.000000000000000000e+00,2.020000000000000000e+03,1.073797200000000007e+00,1.021160099999999904e+00,1.042214999999999892e+00,1.089588400000000012e+00,1.058006000000000002e+00,1.026423800000000108e+00,1.042214999999999892e+00,1.058006000000000002e+00,1.084324700000000030e+00,1.052742400000000078e+00,1.063269900000000101e+00,1.063269900000000101e+00,1.045592099999999913e+00,6.279999999999999716e+01,8.400000000000000355e+00,2.999999999999999889e-01,3.734500000000000000e+04,8.000000000000000444e-01
1.025000000000000000e+03,1.700000000000000000e+01,2.021000000000000000e+03,1.045592099999999913e+00,1.008439099999999922e+00,1.003131500000000065e+00,1.029669299999999899e+00,1.008439099999999922e+00,9.765936100000000009e-01,9.925163399999999969e-01,9.925163399999999969e-01,9.925163399999999969e-01,9.765936100000000009e-01,1.008439099999999922e+00,1.088052599999999925e+00,1.090675800000000084e+00,6.779999999999999716e+01,8.500000000000000000e+00,6.999999999999999556e-01,4.410800000000000000e+04,8.000000000000000444e-01
1.027000000000000000e+03,5.000000000000000000e+00,2.020000000000000000e+03,1.477412600000000076e+00,1.496353899999999904e+00,1.553177400000000041e+00,1.505824400000000063e+00,1.524765600000000054e+00,1.553177400000000041e+00,1.581589200000000028e+00,1.543706800000000046e+00,1.572118499999999974e+00,1.543706800000000046e+00,1.534236200000000050e+00,1.505824400000000063e+00,1.534236200000000050e+00,7.200000000000000000e+01,7.599999999999999645e+00,1.399999999999999911e+00,4.267800000000000000e+04,5.999999999999999778e-01
1.027000000000000000e+03,1.700000000000000000e+01,2.021000000000000000e+03,1.534236200000000050e+00,1.477412600000000076e+00,1.467942000000000080e+00,1.458471400000000084e+00,1.420589099999999938e+00,1.458471400000000084e+00,1.439530299999999929e+00,1.420589099999999938e+00,1.411118499999999942e+00,1.420589099999999938e+00,1.496353899999999904e+00,1.467942000000000080e+00,1.497630400000000028e+00,7.340000000000000568e+01,8.900000000000000355e+00,5.999999999999999778e-01,4.516300000000000000e+04,6.999999999999999556e-01
1.029000000000000000e+03,5.000000000000000000e+00,2.020000000000000000e+03,1.260869599999999924e+00,1.234782599999999952e+00,1.286956500000000059e+00,1.278260799999999975e+00,1.286956500000000059e+00,1.269565199999999949e+00,1.252173900000000062e+00,1.260869599999999924e+00,1.269565199999999949e+00,1.269565199999999949e+00,1.234782599999999952e+00,1.243478300000000036e+00,1.231249500000000108e+00,7.070000000000000284e+01,1.059999999999999964e+01,1.399999999999999911e+00,4.632000000000000000e+04,4.000000000000000222e-01
1.029000000000000000e+03,1.700000000000000000e+01,2.021000000000000000e+03,1.231249500000000108e+00,1.343969500000000039e+00,1.309286399999999961e+00,1.300615700000000041e+00,1.265932599999999963e+00,1.283274100000000084e+00,1.274603399999999942e+00,1.265932599999999963e+00,1.283274100000000084e+00,1.274603399999999942e+00,1.283274100000000084e+00,1.274603399999999942e+00,1.295113100000000017e+00,7.279999999999999716e+01,1.219999999999999929e+01,1.300000000000000044e+00,4.833300000000000000e+04,5.999999999999999778e-01
1.031000000000000000e+03,5.000000000000000000e+00,2.020000000000000000e+03,2.090627899999999872e+00,2.059958700000000142e+00,2.098295199999999916e+00,2.090627899999999872e+00,2.100851099999999860e+00,2.090627899999999872e+00,2.108518399999999904e+00,2.088072100000000209e+00,2.077849099999999893e+00,2.059958700000000142e+00,2.039512400000000003e+00,2.039512400000000003e+00,1.999847799999999953e+00,8.270000000000000284e+01,1.390000000000000036e+01,3.600000000000000089e+00,5.679900000000000000e+04,8.000000000000000444e-01
1.031000000000000000e+03,1.700000000000000000e+01,2.021000000000000000e+03,1.999847799999999953e+00,2.037915899999999780e+00,2.030302299999999782e+00,2.035378000000000132e+00,2.070908300000000146e+00,2.065832599999999797e+00,2.078521999999999981e+00,2.078521999999999981e+00,2.060756700000000219e+00,2.065832599999999797e+00,2.075984000000000052e+00,2.103900700000000068e+00,2.088452100000000033e+00,8.379999999999999716e+01,1.419999999999999929e+01,4.000000000000000000e+00,5.903400000000000000e+04,8.000000000000000444e-01
1.033000000000000000e+03,5.000000000000000000e+00,2.020000000000000000e+03,2.294401600000000041e+00,2.282742999999999967e+00,2.294401600000000041e+00,2.317718699999999910e+00,2.313055299999999814e+00,2.315386999999999862e+00,2.315386999999999862e+00,2.350362500000000132e+00,2.345699100000000037e+00,2.313055299999999814e+00,2.289738199999999946e+00,2.303728299999999951e+00,2.230552199999999985e+00,7.259999999999999432e+01,1.090000000000000036e+01,1.600000000000000089e+00,4.796200000000000000e+04,1.399999999999999911e+00
1.033000000000000000e+03,1.700000000000000000e+01,2.021000000000000000e+03,2.230552199999999985e+00,2.218982899999999869e+00,2.223610600000000215e+00,2.225924500000000084e+00,2.235179899999999886e+00,2.253690499999999819e+00,2.242121200000000147e+00,2.246748900000000049e+00,2.225924500000000084e+00,2.242121200000000147e+00,2.244435100000000016e+00,2.262945900000000066e+00,2.264307300000000023e+00,7.450000000000000000e+01,1.109999999999999964e+01,1.699999999999999956e+00,5.201700000000000000e+04,1.600000000000000089e+00
1.035000000000000000e+03,5.000000000000000000e+00,2.020000000000000000e+03,7.908344299999999771e-01,7.705566299999999647e-01,7.705566299999999647e-01,7.806955599999999551e-01,7.502788299999999522e-01,7.908344299999999771e-01,7.908344299999999771e-01,7.908344299999999771e-01,7.908344299999999771e-01,8.415289500000000533e-01,7.908344299999999771e-01,7.806955599999999551e-01,8.069458600000000148e-01,6.200000000000000000e+01,8.199999999999999289e+00,1.000000000000000000e+00,3.544400000000000000e+04,2.399999999999999911e+00
1.035000000000000000e+03,1.700000000000000000e+01,2.021000000000000000e+03,8.069458600000000148e-01,1.011236000000000024e+00,1.011236000000000024e+00,2.012257299999999915e+00,2.124616899999999919e+00,2.124616899999999919e+00,2.114402500000000185e+00,2.155260600000000082e+00,1.215526099999999943e+00,1.195097099999999912e+00,1.174668100000000104e+00,1.195097099999999912e+00,1.199338299999999968e+00,6.160000000000000142e+01,6.799999999999999822e+00,8.000000000000000444e-01,3.798600000000000000e+04,1.100000000000000089e+00
1.037000000000000000e+03,5.000000000000000000e+00,2.020000000000000000e+03,4.997223599999999766e-01,4.997223599999999766e-01,5.330371900000000496e-01,5.219322400000000473e-01,4.997223599999999766e-01,5.774569499999999689e-01,5.885618900000000320e-01,5.885618900000000320e-01,5.996668299999999840e-01,5.774569499999999689e-01,5.663520100000000168e-01,5.774569499999999689e-01,5.917820299999999589e-01,7.570000000000000284e+01,8.000000000000000000e+00,5.000000000000000000e-01,4.357100000000000000e+04,1.000000000000000000e+00
1.037000000000000000e+03,1.700000000000000000e+01,2.021000000000000000e+03,5.917820299999999589e-01,7.146047399999999605e-01,7.369361500000000120e-01,7.481018299999999677e-01,7.481018299999999677e-01,7.481018299999999677e-01,7.369361500000000120e-01,7.369361500000000120e-01,7.146047399999999605e-01,7.034390600000000049e-01,7.257704099999999769e-01,7.146047399999999605e-01,7.388335499999999501e-01,7.500000000000000000e+01,7.799999999999999822e+00,2.999999999999999889e-01,5.001300000000000000e+04,0.000000000000000000e+00
1.039000000000000000e+03,5.000000000000000000e+00,2.020000000000000000e+03,1.539727700000000032e+00,1.546586199999999911e+00,1.539727700000000032e+00,1.539727700000000032e+00,1.526010799999999890e+00,1.532869199999999932e+00,1.539727700000000032e+00,1.587737100000000012e+00,1.594595599999999891e+00,1.577449300000000054e+00,1.546586199999999911e+00,1.532869199999999932e+00,1.532527399999999984e+00,7.520000000000000284e+01,9.300000000000000711e+00,8.000000000000000444e-01,4.256600000000000000e+04,6.999999999999999556e-01
1.039000000000000000e+03,1.700000000000000000e+01,2.021000000000000000e+03,1.532527399999999984e+00,1.615180599999999966e+00,1.632400000000000073e+00,1.632400000000000073e+00,1.628956199999999965e+00,1.639287799999999962e+00,1.628956199999999965e+00,1.639287799999999962e+00,1.642731699999999906e+00,1.666838899999999901e+00,1.690946000000000060e+00,1.663394899999999899e+00,1.681135400000000057e+00,7.509999999999999432e+01,9.500000000000000000e+00,9.000000000000000222e-01,4.618600000000000000e+04,9.000000000000000222e-01
1.041000000000000000e+03,5.000000000000000000e+00,2.020000000000000000e+03,9.582286500000000151e-01,9.768350700000000275e-01,9.861382199999999543e-01,1.004744599999999988e+00,1.014047900000000002e+00,1.069866999999999901e+00,1.116382999999999903e+00,1.060563799999999945e+00,1.088473299999999977e+00,1.069866999999999901e+00,1.023350999999999900e+00,1.014047900000000002e+00,1.024399300000000013e+00,6.659999999999999432e+01,1.309999999999999964e+01,1.699999999999999956e+00,4.261100000000000000e+04,1.399999999999999911e+00
1.041000000000000000e+03,1.700000000000000000e+01,2.021000000000000000e+03,1.024399300000000013e+00,9.219593999999999845e-01,9.219593999999999845e-01,8.940212100000000106e-01,8.940212100000000106e-01,9.219593999999999845e-01,9.126466500000000037e-01,9.405848399999999776e-01,9.685230299999999515e-01,9.592102799999999707e-01,9.871484600000000054e-01,9.964611500000000177e-01,1.005399300000000107e+00,6.440000000000000568e+01,1.150000000000000000e+01,1.600000000000000089e+00,4.310300000000000000e+04,1.600000000000000089e+00
1.043000000000000000e+03,5.000000000000000000e+00,2.020000000000000000e+03,2.448973200000000183e+00,2.408183100000000021e+00,2.401907700000000201e+00,2.481919099999999823e+00,2.499176299999999795e+00,2.491332100000000160e+00,2.524277899999999963e+00,2.535260000000000069e+00,2.514864900000000070e+00,2.518002500000000143e+00,2.436422299999999819e+00,2.458386200000000077e+00,2.431876200000000043e+00,7.859999999999999432e+01,1.009999999999999964e+01,2.500000000000000000e+00,4.838800000000000000e+04,5.000000000000000000e-01
1.043000000000000000e+03,1.700000000000000000e+01,2.021000000000000000e+03,2.431876200000000043e+00,2.473966400000000121e+00,2.497349999999999959e+00,2.502026600000000212e+00,2.489555399999999974e+00,2.475525399999999987e+00,2.505144399999999827e+00,2.514497800000000005e+00,2.512938699999999859e+00,2.522292100000000037e+00,2.589324700000000146e+00,2.595560299999999820e+00,2.578978300000000168e+00,8.190000000000000568e+01,1.080000000000000071e+01,2.100000000000000089e+00,5.269000000000000000e+04,5.000000000000000000e-01
1.045000000000000000e+03,5.000000000000000000e+00,2.020000000000000000e+03,1.393414399999999942e+00,1.393414399999999942e+00,1.411958000000000046e+00,1.398712500000000025e+00,1.374870899999999896e+00,1.380168999999999979e+00,1.411958000000000046e+00,1.406659700000000068e+00,1.441097700000000037e+00,1.425203299999999951e+00,1.422554300000000049e+00,1.409308900000000087e+00,1.401351199999999908e+00,8.090000000000000568e+01,1.259999999999999964e+01,3.000000000000000000e+00,4.564400000000000000e+04,2.999999999999999889e-01
1.045000000000000000e+03,1.700000000000000000e+01,2.021000000000000000e+03,1.401351199999999908e+00,1.704845299999999897e+00,1.704845299999999897e+00,1.728596999999999939e+00,1.704845299999999897e+00,1.691649900000000040e+00,1.704845299999999897e+00,1.720679899999999929e+00,1.696928100000000050e+00,1.681093699999999913e+00,1.696928100000000050e+00,1.715401600000000082e+00,1.706880200000000070e+00,8.229999999999999716e+01,1.259999999999999964e+01,3.299999999999999822e+00,5.005200000000000000e+04,1.000000000000000056e-01
1.047000000000000000e+03,5.000000000000000000e+00,2.020000000000000000e+03,1.196733800000000070e+00,1.173592600000000097e+00,1.180204299999999984e+00,1.180204299999999984e+00,1.196733800000000070e+00,1.206651399999999930e+00,1.216569199999999906e+00,1.223180900000000015e+00,1.226486799999999988e+00,1.243016200000000016e+00,1.219875000000000043e+00,1.243016200000000016e+00,1.258411900000000028e+00,7.190000000000000568e+01,1.030000000000000071e+01,9.000000000000000222e-01,3.331700000000000000e+04,5.999999999999999778e-01
1.047000000000000000e+03,1.700000000000000000e+01,2.021000000000000000e+03,1.258411900000000028e+00,1.359353999999999951e+00,1.366083500000000006e+00,1.372812900000000003e+00,1.369448199999999893e+00,1.362718700000000061e+00,1.366083500000000006e+00,1.369448199999999893e+00,1.369448199999999893e+00,1.362718700000000061e+00,1.396366100000000054e+00,1.413189800000000051e+00,1.418708999999999998e+00,7.279999999999999716e+01,9.800000000000000711e+00,9.000000000000000222e-01,3.495700000000000000e+04,8.000000000000000444e-01
1.049000000000000000e+03,5.000000000000000000e+00,2.020000000000000000e+03,2.174236800000000081e+00,2.146314100000000114e+00,2.146314100000000114e+00,2.176098300000000041e+00,2.204020700000000055e+00,2.196574899999999886e+00,2.226358900000000141e+00,2.226358900000000141e+00,2.224497299999999900e+00,2.209605499999999889e+00,2.190990199999999888e+00,2.168652300000000199e+00,2.187732500000000080e+00,7.840000000000000568e+01,8.599999999999999645e+00,7.200000000000000178e+00,4.226700000000000000e+04,2.500000000000000000e+00
1.049000000000000000e+03,1.700000000000000000e+01,2.021000000000000000e+03,2.187732500000000080e+00,2.226765900000000187e+00,2.234200700000000150e+00,2.237918099999999910e+00,2.247211899999999929e+00,2.250929399999999969e+00,2.262081900000000090e+00,2.237918099999999910e+00,2.228624599999999845e+00,2.288104099999999974e+00,2.310408799999999818e+00,2.327137500000000081e+00,2.317623600000000117e+00,7.990000000000000568e+01,8.800000000000000711e+00,7.500000000000000000e+00,4.403700000000000000e+04,2.700000000000000178e+00
1.051000000000000000e+03,5.000000000000000000e+00,2.020000000000000000e+03,2.696393699999999782e+00,2.669398099999999996e+00,2.669398099999999996e+00,2.690041799999999927e+00,2.677337899999999937e+00,2.701157600000000159e+00,2.721801500000000207e+00,2.721801500000000207e+00,2.836136100000000049e+00,2.848840000000000039e+00,2.823432200000000059e+00,2.798024700000000031e+00,2.711595099999999814e+00,8.370000000000000284e+01,1.689999999999999858e+01,2.000000000000000000e+00,6.232400000000000000e+04,1.399999999999999911e+00
1.051000000000000000e+03,1.700000000000000000e+01,2.021000000000000000e+03,2.711595099999999814e+00,2.724310599999999916e+00,2.730668300000000048e+00,2.743383899999999986e+00,2.749741799999999792e+00,2.762457400000000174e+00,2.771993900000000011e+00,2.765636199999999878e+00,2.867360800000000154e+00,3.012000299999999964e+00,3.296511199999999864e+00,3.336247199999999857e+00,3.305185100000000098e+00,8.540000000000000568e+01,1.650000000000000000e+01,2.200000000000000178e+00,6.759700000000000000e+04,9.000000000000000222e-01
1.053000000000000000e+03,5.000000000000000000e+00,2.020000000000000000e+03,1.655172499999999935e+00,1.634482699999999955e+00,1.665517200000000031e+00,1.648275900000000016e+00,1.648275900000000016e+00,1.693103400000000036e+00,1.696551700000000107e+00,1.720689700000000100e+00,1.741379299999999963e+00,1.748275900000000105e+00,1.758620700000000037e+00,1.741379299999999963e+00,1.727554000000000034e+00,6.550000000000000000e+01,8.800000000000000711e+00,8.000000000000000444e-01,3.555800000000000000e+04,1.000000000000000000e+00
1.053000000000000000e+03,1.700000000000000000e+01,2.021000000000000000e+03,1.727554000000000034e+00,1.574611500000000053e+00,1.578087599999999924e+00,1.619799100000000047e+00,1.598943400000000015e+00,1.602419299999999991e+00,1.633702999999999905e+00,1.640654899999999916e+00,1.633702999999999905e+00,1.654558799999999996e+00,1.696270299999999898e+00,1.710174199999999978e+00,1.727642300000000075e+00,6.809999999999999432e+01,8.500000000000000000e+00,9.000000000000000222e-01,3.846400000000000000e+04,1.100000000000000089e+00
